study_accession,sample_accession,sample_name,run_accession,read_count,fastq_ftp
PRJEB1786,SAMEA1906484,59,ERR260209,12460015,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260209/ERR260209_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260209/ERR260209_2.fastq.gz
PRJEB1786,SAMEA1906528,598,ERR260210,17399677,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260210/ERR260210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260210/ERR260210_2.fastq.gz
PRJEB1786,SAMEA1906501,600,ERR260211,15371612,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260211/ERR260211_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260211/ERR260211_2.fastq.gz
PRJEB1786,SAMEA1906535,60,ERR260212,32764655,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260212/ERR260212.fastq.gz
PRJEB1786,SAMEA1906554,602,ERR260213,32764655,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260213/ERR260213.fastq.gz
PRJEB1786,SAMEA1906579,604,ERR260214,19422986,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260214/ERR260214_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260214/ERR260214_2.fastq.gz
PRJEB1786,SAMEA1906432,614,ERR260215,7653274,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260215/ERR260215_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260215/ERR260215_2.fastq.gz
PRJEB1786,SAMEA1906433,617,ERR260216,4849280,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260216/ERR260216_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260216/ERR260216_2.fastq.gz
PRJEB1786,SAMEA1906420,618,ERR260217,8413357,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260217/ERR260217_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260217/ERR260217_2.fastq.gz
PRJEB1786,SAMEA1906556,628,ERR260218,6919590,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260218/ERR260218_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260218/ERR260218_2.fastq.gz
PRJEB1786,SAMEA1906564,638,ERR260219,5712761,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260219/ERR260219_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260219/ERR260219_2.fastq.gz
PRJEB1786,SAMEA1906510,640,ERR260220,12659621,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260220/ERR260220_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260220/ERR260220_2.fastq.gz
PRJEB1786,SAMEA1906530,643,ERR260221,7653823,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260221/ERR260221_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260221/ERR260221_2.fastq.gz
PRJEB1786,SAMEA1906544,646,ERR260222,7107540,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260222/ERR260222_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260222/ERR260222_2.fastq.gz
PRJEB1786,SAMEA1906464,655,ERR260223,6267937,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260223/ERR260223_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260223/ERR260223_2.fastq.gz
PRJEB1786,SAMEA1906493,77,ERR260224,13689474,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260224/ERR260224_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260224/ERR260224_2.fastq.gz
PRJEB1786,SAMEA1906418,80,ERR260225,9310011,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260225/ERR260225_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260225/ERR260225_2.fastq.gz
PRJEB1786,SAMEA1906569,88,ERR260226,13649613,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260226/ERR260226_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260226/ERR260226_2.fastq.gz
PRJEB1786,SAMEA1906576,92,ERR260227,10970243,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260227/ERR260227_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260227/ERR260227_2.fastq.gz
PRJEB1786,SAMEA1906526,200,ERR260228,19051899,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260228/ERR260228_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260228/ERR260228_2.fastq.gz
PRJEB1786,SAMEA1906543,205,ERR260229,14361230,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260229/ERR260229_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260229/ERR260229_2.fastq.gz
PRJEB1786,SAMEA1906458,224,ERR260230,9883620,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260230/ERR260230_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260230/ERR260230_2.fastq.gz
PRJEB1786,SAMEA1906487,225,ERR260231,10392457,ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260231/ERR260231_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260231/ERR260231_2.fastq.gz
